,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.0,4.37,4.47,4.65,4.6,4.75,4.54,5.02,5.12,4.6,5.18,5.22,4.75,5.0,5.24,5.07,4.8,4.78,4.28,5.13,4.02,3.43,4.01,3.63,2.76,1.64,2.07,1.22,1.17,1.98,1.6,1.55,1.63,1.02,0.12,0.02,0.11,0.15,0.16,0.17,0.04,0.14,0.17,0.14,0.11,0.06,0.01,0.08,0.04,0.02,0.09,0.15,0.14,0.15,0.17,0.14,0.16,0.14,0.14,0.18,0.07
0.6931471805599453,4.42,4.545,4.640000000000001,4.685,4.805,4.775,5.06,5.085,4.744999999999999,5.13,5.125,4.885,5.0600000000000005,5.2,5.055,4.855,4.755000000000001,4.550000000000001,5.045,4.015,3.625,3.975,3.39,3.06,1.7999999999999998,1.96,1.2999999999999998,1.2999999999999998,1.935,1.75,1.615,1.6749999999999998,0.97,0.29,0.015,0.11,0.195,0.21,0.19,0.09,0.14,0.18,0.16,0.13,0.1,0.03,0.07,0.05,0.05,0.11,0.155,0.15,0.155,0.175,0.145,0.15,0.15,0.13,0.175,0.095
1.0986122886681098,4.47,4.62,4.63,4.77,4.86,5.01,5.1,5.05,4.89,5.08,5.03,5.02,5.12,5.16,5.04,4.91,4.73,4.82,4.96,4.01,3.82,3.94,3.15,3.36,1.96,1.85,1.38,1.43,1.89,1.9,1.68,1.72,0.92,0.46,0.01,0.11,0.24,0.26,0.21,0.14,0.14,0.19,0.18,0.15,0.14,0.05,0.06,0.06,0.08,0.13,0.16,0.16,0.16,0.18,0.15,0.14,0.16,0.12,0.17,0.12
1.3862943611198906,4.529999999999999,4.68,4.72,4.84,4.970000000000001,5.125,5.14,5.08,4.955,5.105,5.065,5.055,5.140000000000001,5.140000000000001,5.05,4.970000000000001,4.845000000000001,4.875,4.975,4.109999999999999,3.955,4.015,3.26,3.425,2.015,1.84,1.4449999999999998,1.535,1.95,2.035,1.785,1.845,1.26,0.7,0.225,0.19,0.3,0.355,0.32,0.215,0.22,0.27,0.22,0.195,0.16,0.105,0.105,0.13,0.1149999999999999,0.16,0.2,0.205,0.19,0.2,0.175,0.165,0.175,0.145,0.19,0.155
1.791759469228055,4.59,4.74,4.81,4.91,5.08,5.24,5.18,5.11,5.02,5.13,5.1,5.09,5.16,5.12,5.06,5.03,4.96,4.93,4.99,4.21,4.09,4.09,3.37,3.49,2.07,1.83,1.51,1.64,2.01,2.17,1.89,1.97,1.6,0.94,0.44,0.27,0.36,0.45,0.43,0.29,0.3,0.35,0.26,0.24,0.18,0.16,0.15,0.2,0.15,0.19,0.24,0.25,0.22,0.22,0.2,0.19,0.19,0.17,0.21,0.19
2.4849066497880004,4.58,4.73,4.82,4.9,5.07,5.21,5.11,5.01,4.91,4.99,4.94,5.0,5.09,4.96,4.9,4.89,4.95,4.91,4.85,4.19,4.05,4.04,3.26,3.34,2.11,1.77,1.55,1.85,2.22,2.36,2.27,2.17,1.78,1.34,0.9,0.37,0.51,0.72,0.57,0.49,0.47,0.56,0.48,0.43,0.4,0.37,0.27,0.47,0.3,0.32,0.41,0.41,0.34,0.32,0.29,0.25,0.27,0.22,0.27,0.29
3.1780538303479458,4.54,4.69,4.82,4.87,5.04,5.16,4.97,4.79,4.71,4.71,4.62,4.82,4.94,4.65,4.58,4.6,4.92,4.87,4.56,4.15,3.97,3.94,3.04,3.05,2.17,1.65,1.62,2.29,2.66,2.63,2.52,2.36,2.0,1.56,1.0,0.76,0.94,1.0,0.81,0.91,0.92,1.11,1.13,0.97,0.95,0.9,0.67,1.14,0.82,0.81,1.02,0.97,0.76,0.61,0.55,0.47,0.42,0.34,0.45,0.61
3.58351893845611,4.49,4.67,4.83,4.87,5.03,5.13,4.93,4.71,4.62,4.62,4.52,4.74,4.85,4.55,4.54,4.54,4.88,4.89,4.55,4.16,4.03,3.94,3.09,3.07,2.27,1.87,1.79,2.49,2.93,2.91,2.81,2.6,2.28,1.8,1.27,1.0,1.32,1.4,1.15,1.38,1.42,1.64,1.62,1.49,1.45,1.43,1.12,1.7,1.38,1.36,1.6,1.51,1.26,1.0,0.84,0.72,0.64,0.51,0.72,1.02
4.0943445622221,4.47,4.61,4.82,4.92,5.04,5.1,4.91,4.7,4.59,4.57,4.45,4.7,4.82,4.52,4.54,4.51,4.86,4.92,4.6,4.25,4.23,4.16,3.41,3.45,2.82,2.5,2.46,3.03,3.41,3.34,3.25,3.1,2.98,2.8,1.93,1.55,1.85,1.99,1.67,2.02,2.34,2.54,2.53,2.39,2.31,2.31,2.01,2.69,2.34,2.3,2.55,2.43,2.1,1.79,1.6,1.33,1.27,1.17,1.47,2.01
4.430816798843313,4.49,4.57,4.83,4.98,5.06,5.11,4.93,4.7,4.6,4.57,4.45,4.7,4.82,4.53,4.58,4.55,4.87,4.96,4.67,4.36,4.38,4.29,3.64,3.7,3.19,2.96,2.88,3.34,3.68,3.61,3.56,3.45,3.38,3.29,2.35,1.87,2.27,2.69,2.28,2.7,3.06,3.19,3.14,3.03,2.93,2.98,2.69,3.39,3.08,3.05,3.28,3.12,2.75,2.42,2.3,1.92,1.91,1.89,2.16,2.71
4.787491742782046,4.53,4.55,4.86,5.07,5.12,5.15,4.99,4.74,4.64,4.61,4.46,4.71,4.83,4.56,4.65,4.63,4.9,5.03,4.78,4.54,4.59,4.48,3.97,4.04,3.67,3.53,3.45,3.77,4.06,3.99,3.99,3.83,3.85,4.01,2.93,2.25,2.87,3.02,2.71,3.16,3.47,3.53,3.52,3.4,3.31,3.41,3.21,3.85,3.63,3.61,3.84,3.69,3.31,2.97,2.94,2.47,2.53,2.63,2.81,3.3
5.480638923341991,4.74,4.7,5.07,5.31,5.35,5.31,5.17,4.95,4.84,4.81,4.66,4.91,5.02,4.78,4.92,4.88,5.1,5.21,5.0,4.87,4.89,4.79,4.44,4.5,4.35,4.37,4.3,4.49,4.74,4.59,4.63,4.47,4.43,4.74,3.71,3.05,3.86,3.98,3.61,4.1,4.34,4.3,4.29,4.14,4.02,4.19,4.07,4.58,4.38,4.4,4.55,4.36,4.05,3.74,3.74,3.23,3.38,3.64,3.8,4.13
5.886104031450156,4.57,4.51,4.9,5.17,5.21,5.19,5.07,4.88,4.77,4.72,4.56,4.81,4.93,4.68,4.84,4.81,5.01,5.12,4.92,4.83,4.83,4.74,4.4,4.45,4.35,4.41,4.3,4.49,4.72,4.53,4.59,4.43,4.31,4.35,3.45,2.69,3.58,3.71,3.56,4.05,4.34,4.32,4.31,4.18,4.03,4.23,4.2,4.63,4.51,4.55,4.72,4.53,4.22,3.91,3.98,3.52,3.69,3.99,4.12,4.34
