Date,Open,High,Low,Close,Adj Close,Volume
1999-08-09,8.677298,8.677298,8.677298,8.677298,6.099946,533
1999-08-10,8.677298,8.677298,8.677298,8.677298,6.099946,533
1999-08-11,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-08-12,8.560038,8.794559,8.560038,8.794559,6.182376,853
1999-08-13,8.794559,8.794559,8.794559,8.794559,6.182376,0
1999-08-16,8.794559,8.794559,8.794559,8.794559,6.182376,0
1999-08-17,8.794559,8.794559,8.794559,8.794559,6.182376,0
1999-08-18,8.677298,8.677298,8.677298,8.677298,6.099946,533
1999-08-19,8.442777,8.442777,8.442777,8.442777,5.935084,1066
1999-08-20,8.677298,8.677298,8.677298,8.677298,6.099946,533
1999-08-23,8.911820,8.911820,8.911820,8.911820,6.264809,2132
1999-08-24,8.911820,8.911820,8.911820,8.911820,6.264809,959
1999-08-25,8.911820,8.911820,8.911820,8.911820,6.264809,0
1999-08-26,8.911820,8.911820,8.911820,8.911820,6.264809,0
1999-08-27,8.677298,8.677298,8.560038,8.677298,6.099946,1333
1999-08-30,8.560038,8.560038,8.442777,8.442777,5.935084,2665
1999-08-31,8.677298,8.677298,8.442777,8.442777,5.935084,5810
1999-09-01,8.442777,8.442777,8.442777,8.442777,5.935084,2665
1999-09-02,8.442777,8.560038,8.442777,8.560038,6.017515,1066
1999-09-03,8.794559,8.794559,8.794559,8.794559,6.182376,533
1999-09-07,8.911820,9.146341,8.677298,8.911820,6.264809,5863
1999-09-08,9.380863,9.380863,9.146341,9.380863,6.594536,3784
1999-09-09,9.380863,9.380863,9.380863,9.380863,6.594536,533
1999-09-10,9.380863,9.380863,9.380863,9.380863,6.594536,0
1999-09-13,9.029081,9.146341,9.029081,9.146341,6.429673,693
1999-09-14,8.911820,8.911820,8.911820,8.911820,6.264809,533
1999-09-15,9.146341,9.146341,9.146341,9.146341,6.429673,373
1999-09-16,9.146341,9.146341,9.146341,9.146341,6.429673,0
1999-09-17,9.146341,9.263602,9.146341,9.263602,6.512105,1173
1999-09-20,9.380863,9.380863,9.146341,9.146341,6.429673,3251
1999-09-21,8.911820,8.911820,8.911820,8.911820,6.264809,213
1999-09-22,8.911820,8.911820,8.442777,8.442777,5.935084,4531
1999-09-23,8.677298,8.677298,8.677298,8.677298,6.099946,53
1999-09-24,8.794559,8.794559,8.794559,8.794559,6.182376,53
1999-09-27,9.146341,9.146341,9.146341,9.146341,6.429673,267
1999-09-28,9.146341,9.146341,9.146341,9.146341,6.429673,0
1999-09-29,9.146341,9.146341,9.146341,9.146341,6.429673,1066
1999-09-30,9.146341,9.146341,9.146341,9.146341,6.429673,0
1999-10-01,9.146341,9.146341,9.146341,9.146341,6.429673,0
1999-10-04,9.146341,9.146341,9.146341,9.146341,6.429673,53
1999-10-05,9.146341,9.146341,9.146341,9.146341,6.429673,0
1999-10-06,9.146341,9.146341,9.146341,9.146341,6.429673,0
1999-10-07,9.029081,9.029081,9.029081,9.029081,6.347243,53
1999-10-08,9.146341,9.263602,9.146341,9.146341,6.429673,2132
1999-10-11,9.146341,9.146341,9.146341,9.146341,6.429673,0
1999-10-12,9.029081,9.029081,9.029081,9.029081,6.347243,533
1999-10-13,8.794559,8.794559,8.794559,8.794559,6.182376,533
1999-10-14,8.677298,8.794559,8.677298,8.794559,6.182376,3198
1999-10-15,8.794559,8.794559,8.794559,8.794559,6.182376,0
1999-10-18,8.442777,8.442777,8.442777,8.442777,5.935084,107
1999-10-19,8.677298,8.677298,8.677298,8.677298,6.099946,53
1999-10-20,8.677298,8.677298,8.677298,8.677298,6.099946,1279
1999-10-21,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-10-22,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-10-25,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-10-26,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-10-27,8.911820,8.911820,8.911820,8.911820,6.264809,959
1999-10-28,8.442777,8.442777,8.208255,8.442777,5.935084,1866
1999-10-29,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-11-01,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-11-02,8.560038,8.560038,8.560038,8.560038,6.017515,213
1999-11-03,8.442777,8.442777,8.442777,8.442777,5.935084,2132
1999-11-04,8.677298,8.677298,8.442777,8.677298,6.099946,3198
1999-11-05,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-11-08,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-11-09,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-11-10,8.677298,8.677298,8.677298,8.677298,6.099946,1599
1999-11-11,8.677298,8.677298,8.677298,8.677298,6.099946,693
1999-11-12,8.442777,8.677298,8.442777,8.677298,6.099946,853
1999-11-15,8.560038,8.677298,8.560038,8.677298,6.099946,213
1999-11-16,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-11-17,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-11-18,8.677298,8.677298,8.677298,8.677298,6.099946,0
1999-11-19,8.442777,8.442777,8.442777,8.442777,5.935084,1066
1999-11-22,8.442777,8.442777,8.442777,8.442777,5.935084,1812
1999-11-23,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-11-24,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-11-26,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-11-29,8.442777,8.442777,8.442777,8.442777,5.935084,1066
1999-11-30,8.442777,8.442777,8.442777,8.442777,5.935084,853
1999-12-01,8.442777,8.442777,8.442777,8.442777,5.935084,1066
1999-12-02,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-12-03,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-12-06,8.442777,8.442777,8.442777,8.442777,5.935084,0
1999-12-07,8.442777,8.442777,8.442777,8.442777,5.935084,0
