JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440483.4,11.2,,,Vis.,HEE,,,,,,,,V,,,,RU AND,,STD,,,,
2440483.7,11.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440483.7,11.8,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440485.8,11.6,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440486.6,11.1,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2440494.6,11.3,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440496.9,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440499.6,11.7,,,Vis.,BRK,,,,,,,,V,,,,RU AND,,STD,,,,
2440500.4,11.5,,,Vis.,HEE,,,,,,,,V,,,,RU AND,,STD,,,,
2440500.4,11.2,,,Vis.,LKS,,,,,,,,V,,,,RU AND,,STD,,,,
2440502.6,11.5,,,Vis.,GAY,,,,,,,,V,,,,RU AND,,STD,,,,
2440502.7,11.6,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440506.8,11.8,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440510.6,12.2,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2440513.7,11.3,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440525.6,12.0,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440531.7,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440532.7,11.5,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440534.6,11.8,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440534.7,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440535.7,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440539.6,11.6,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440559.5,11.5,,,Vis.,FE,,,,,,,,V,,,,RU AND,,STD,,,,
2440561.7,11.5,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440565.7,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440565.7,11.7,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440569.6,11.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440586.6,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440589.6,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440589.7,11.5,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440591.5,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440591.7,11.7,,,Vis.,TB,,,,,,,,V,,,,RU AND,,STD,,,,
2440597.6,11.2,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440600.6,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440610.6,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440619.6,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440621.6,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440624.6,11.5,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440626.6,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440629.7,11.6,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440633.6,12.1,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440634.6,11.6,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440640.7,12.2,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440642.5,12.3,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440642.6,12.5,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2440643.6,12.0,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440649.6,12.8,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440653.4,12.7,,,Vis.,DAL,,,,,,,,V,,,,RU AND,,STD,,,,
2440655.6,12.6,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440655.6,12.7,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440670.6,12.8,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440772.8,12.0,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440773.8,12.1,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440783.9,11.8,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440784.0,11.9,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440799.9,11.4,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440822.7,11.7,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440824.7,11.6,,,Vis.,AC,,,,,,,,V,,,,RU AND,,STD,,,,
2440824.7,11.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440827.8,11.0,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440834.9,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2440836.8,11.5,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440842.6,11.0,,,Vis.,SC,,,,,,,,V,,,,RU AND,,STD,,,,
2440849.7,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440857.8,11.4,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440858.7,11.4,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2440858.8,11.5,,,Vis.,WJA,,,,,,,,V,,,,RU AND,,STD,,,,
2440859.7,11.4,,,Vis.,RAD,,,,,,,,V,,,,RU AND,,STD,,,,
2440861.6,12.0,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440867.7,11.8,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440870.6,11.8,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2440883.7,12.5,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440884.8,11.6,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2440885.7,12.9,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2440886.6,12.6,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440887.8,12.3,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440891.5,12.3,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2440892.7,12.5,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440895.6,12.6,,,Vis.,RNN,,,,,,,,V,,,,RU AND,,STD,,,,
2440896.5,13.0,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2440896.7,12.8,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
